window,strike,close,resolved,traded,pnl,equity
1788694200,79907.85189102334,79959.82934459,,0,0.0,859.64
1788694500,79973.4485722884,79914.7980712691,,0,0.0,859.64
1788694800,79914.67699207139,79956.78361270422,,0,0.0,859.64
1788695100,79958.79553357408,79960.58842189565,,0,0.0,859.64
1788695400,79955.45746133754,79921.89858264256,,0,0.0,859.64
1788695700,79920.81626633312,79920.23783200428,,0,0.0,859.64
1788696000,79921.79393649471,79919.03450045976,,0,0.0,859.64
1788696300,79917.81150081268,79893.91929701,,0,0.0,859.64
1788696600,79896.525468265,79932.63151175133,,0,0.0,859.64
1788696900,79933.25277477829,79962.5044614645,,0,0.0,859.64
1788697200,79960.99257328185,79994.12735105943,,0,0.0,859.64
1788697500,79994.83622683515,79972.31718620047,,0,0.0,859.64
1788697800,79972.80744308137,79999.1795704041,,0,0.0,859.64
1788698100,79997.93985094356,79985.155155455,,0,0.0,859.64
1788698400,79985.92300652798,79936.50635919,,0,0.0,859.64
1788698700,79937.75589715104,79923.467311925,,0,0.0,859.64
1788699000,79929.34632129686,79972.72179854229,,0,0.0,859.64
1788699300,79977.0338507468,79928.28953085818,,0,0.0,859.64
1788699600,79921.7783662,79942.55527372,,0,0.0,859.64
1788699900,79941.2469025845,79939.177957395,,0,0.0,859.64
1788700200,79937.45652385,79890.500314065,,0,0.0,859.64
1788700500,79890.11392219,79843.8163555959,,0,0.0,859.64
1788700800,79838.757579695,79834.54147008473,,0,0.0,859.64
1788701100,79822.394688885,79808.97509343525,,0,0.0,859.64
1788701400,79798.43920317285,79773.65588388,,0,0.0,859.64
1788701700,79773.32061490917,79833.65384383037,,0,0.0,859.64
1788702000,79815.56555680539,79794.41273763457,,0,0.0,859.64
1788702300,79794.48904584281,79836.418284945,,0,0.0,859.64
1788702600,79816.32154142403,79811.75036974606,,0,0.0,859.64
1788702900,79811.64400386559,79826.7345391492,,0,0.0,859.64
1788703200,79826.7411568776,79829.6055703917,,0,0.0,859.64
1788703500,79829.36981837,79768.40501142801,,0,0.0,859.64
1788703800,79766.63655916858,79746.84709700146,,0,0.0,859.64
1788704100,79746.80022194334,79745.81045915672,,0,0.0,859.64
1788704400,79744.16438269503,79640.88026331,,0,0.0,859.64
1788704700,79640.76971283923,79668.1227884015,,0,0.0,859.64
1788705000,79667.44796241171,79550.39846538,,0,0.0,859.64
1788705300,79552.06494562389,79668.43321800954,,0,0.0,859.64
1788705600,79664.93769648572,79715.59013944525,,0,0.0,859.64
1788705900,79712.89911600806,79654.5499834,,0,0.0,859.64
1788706200,79655.95630134236,79684.20922322856,,0,0.0,859.64
1788706500,79683.96482641799,79542.72765072965,,0,0.0,859.64
1788706800,79542.80232576751,79521.47685866288,,0,0.0,859.64
1788707100,79524.84942681379,79510.07512799557,,0,0.0,859.64
1788707400,79514.72609817352,79537.15493617748,,0,0.0,859.64
1788707700,79538.19095061615,79599.40130066233,,0,0.0,859.64
1788708000,79598.81359541496,79643.43373965217,,0,0.0,859.64
1788708300,79641.53234692835,79626.77314788743,,0,0.0,859.64
1788708600,79633.3375069117,79634.30457497646,,0,0.0,859.64
1788708900,79634.71230020556,79688.882782395,,0,0.0,859.64
1788709200,79689.625168105,79686.031160215,,0,0.0,859.64
1788709500,79689.36609687531,79695.34396711868,,0,0.0,859.64
1788709800,79695.24796085696,79659.5225919071,,0,0.0,859.64
1788710100,79658.40444019498,79710.75098100967,,0,0.0,859.64
1788710400,79710.19205856576,79622.35847684885,,0,0.0,859.64
1788710700,79603.41104251998,79624.94846422,,0,0.0,859.64
1788711000,79624.22224795463,79705.3944364601,,0,0.0,859.64
1788711300,79694.41637071202,79707.20946023654,,0,0.0,859.64
1788711600,79707.42578024205,79651.74867654277,,0,0.0,859.64
1788711900,79651.55074688084,79701.893155775,,0,0.0,859.64
1788712200,79708.95355861785,79762.72734882367,,0,0.0,859.64
1788712500,79764.80706611591,79715.91536116613,,0,0.0,859.64
1788712800,79717.4455184,79720.69996035728,,0,0.0,859.64
1788713100,79716.8833354559,79689.98555518918,,0,0.0,859.64
1788713400,79689.86938077485,79702.91760933644,,0,0.0,859.64
1788713700,79687.19305101704,79678.83434574609,,0,0.0,859.64
1788714000,79678.8310187125,79637.99761093798,,0,0.0,859.64
1788714300,79646.32267751881,79584.98484259575,,0,0.0,859.64
1788714600,79585.10902447582,79624.82363319726,,0,0.0,859.64
1788714900,79624.5775073786,79700.36776222628,,0,0.0,859.64
1788715200,79722.31220243739,79732.39468183587,,0,0.0,859.64
1788715500,79723.46668066,79688.90869495932,,0,0.0,859.64
1788715800,79690.58211047713,79713.47041551782,,0,0.0,859.64
1788716100,79707.8146803521,79740.7450832881,,0,0.0,859.64
1788716400,79744.16291456482,79745.90843350261,,0,0.0,859.64
1788716700,79745.25111242343,79726.42980465961,,0,0.0,859.64
1788717000,79733.33895455298,79739.77427967,,0,0.0,859.64
1788717300,79739.19695520391,79734.39704757248,,0,0.0,859.64
1788717600,79734.30394801,79774.50816355195,,0,0.0,859.64
1788717900,79775.35416000162,79828.15618973738,,0,0.0,859.64
1788718200,79828.32629552534,79855.05004279692,,0,0.0,859.64
1788718500,79842.1453782016,79856.57800439018,,0,0.0,859.64
1788718800,79854.77565099,79888.08754959713,,0,0.0,859.64
1788719100,79888.62522509773,79913.00890130288,,0,0.0,859.64
1788719400,79912.89805892465,79922.00224254165,,0,0.0,859.64
1788719700,79927.376978495,79948.34112647343,,0,0.0,859.64
1788720000,79944.38263592604,79934.80799334518,,0,0.0,859.64
1788720300,79934.84572405308,79919.65622032013,,0,0.0,859.64
1788720600,79919.95487274561,79915.47770369229,,0,0.0,859.64
1788720900,79918.75715602071,79950.02523857079,,0,0.0,859.64
1788721200,79946.31567687257,79897.68393317895,,0,0.0,859.64
1788721500,79896.578227825,79869.168979225,,0,0.0,859.64
1788721800,79870.17419482207,79861.61773063343,,0,0.0,859.64
1788722100,79861.68965297447,79852.67993261611,,0,0.0,859.64
1788722400,79851.19713917539,79850.54016034935,,0,0.0,859.64
1788722700,79854.951909275,79845.49959791446,,0,0.0,859.64
1788723000,79844.29346915786,79826.73395927114,,0,0.0,859.64
1788723300,79826.52567488198,79809.61660695355,,0,0.0,859.64
1788723600,79807.96177039645,79802.00033140925,,0,0.0,859.64
1788723900,79802.57240568897,79808.17587688117,,0,0.0,859.64
1788724200,79809.802151535,79810.63668036993,,0,0.0,859.64
1788724500,79810.26914255,79820.20470297198,,0,0.0,859.64
1788724800,79827.981176285,79812.8038306356,,0,0.0,859.64
1788725100,79796.45616002771,79776.68312223948,,0,0.0,859.64
1788725400,79777.74724773216,79806.49729933123,,0,0.0,859.64
1788725700,79806.72186095787,79815.96169072985,,0,0.0,859.64
1788726000,79835.68677474835,79936.12753679612,,0,0.0,859.64
1788726300,79921.41398204629,79931.43644038084,,0,0.0,859.64
1788726600,79931.69359585854,79948.00768990499,,0,0.0,859.64
1788726900,79947.9212817684,79937.46028292691,,0,0.0,859.64
1788727200,79937.95286382,79949.8697157075,,0,0.0,859.64
1788727500,79949.89084244963,79926.6688421323,,0,0.0,859.64
1788727800,79927.97662141762,79901.85894572109,,0,0.0,859.64
1788728100,79901.21895983578,79895.8943029803,,0,0.0,859.64
1788728400,79909.09892009,79966.11764036876,,0,0.0,859.64
